id	createDate	discussion_id	creator_id
1	1237947583374	1	1
2	1237947662943	1	1
3	1237947690872	1	1
4	1237947720074	1	1
5	1237947776049	1	1
6	1237967475984	2	2
7	1237967657946	3	3
8	1237996593567	3	2
9	1238002694591	4	1
10	1238005735313	4	52
11	1238006036391	4	52
12	1238012742517	5	49
13	1238012797736	6	49
14	1238013029174	3	38
15	1238013099970	3	49
16	1238013223577	4	49
17	1238013976748	4	38
18	1238014370290	4	38
19	1238030908692	7	3
20	1238033059408	3	3
21	1238054365479	4	52
22	1238078396137	4	1
23	1238093032365	8	48
24	1238093158604	8	38
25	1238093158660	8	38
26	1238093183006	8	38
27	1238093704863	8	38
28	1238104421614	9	38
29	1238110542345	10	38
30	1238112116523	10	38
31	1238115202027	9	48
32	1238118486703	9	38
33	1238118552131	9	38
34	1238123402731	9	38
35	1238123470075	9	38
36	1238124396948	9	38
37	1238133439793	9	2
38	1238154142407	9	38
39	1238155188683	10	52
40	1238164772681	9	3
41	1238416746450	11	2
42	1238420513773	11	48
43	1238420522190	11	48
44	1238420526458	11	52
45	1238421366934	11	2
46	1238422472101	11	52
47	1238424817459	11	48
48	1238428020837	12	52
49	1238428124147	12	48
50	1238474977062	12	8
51	1238519359048	13	3
52	1238524374426	13	1
53	1238525053980	13	3
54	1238533601035	14	8
55	1238536388462	14	1
56	1238537383818	14	8
57	1238538927346	15	8
58	1238584900420	15	48
59	1238607107206	16	1
60	1238636701649	17	48
61	1238641090162	18	8
62	1238691914238	19	38
63	1238694178680	19	38
64	1238694303575	19	3
65	1238699027839	19	92
66	1238699318084	19	38
67	1238699684697	20	92
68	1238703923495	21	30
69	1238717888503	21	38
70	1238720547054	21	48
71	1238725659889	21	38
72	1238725747070	21	38
73	1238755785241	21	48
74	1238761172461	22	2
75	1238771987657	21	92
76	1238774499720	21	48
77	1238835183258	21	86
78	1238983228483	23	1
79	1238995818189	24	38
80	1239019326153	24	38
81	1239040872338	25	1
82	1239114109610	26	3
83	1239194532591	27	1
84	1239197895759	28	30
85	1239284005753	29	2
86	1239288757401	29	92
87	1239292849241	27	92
88	1239356981373	29	52
89	1239367544338	30	110
90	1239369568283	30	38
91	1239370104578	30	3
93	1239707848274	32	52
94	1239743620128	33	21
95	1239763189215	33	52
96	1239765112422	33	38
97	1239796069437	33	92
98	1239799456888	34	92
99	1239803887362	34	119
100	1239804535435	34	8
101	1239816341658	35	123
102	1239844265963	36	30
103	1239849315872	36	38
104	1239883068830	37	123
105	1239885291030	37	38
106	1239892703288	36	119
107	1239904441365	38	52
108	1239907062715	38	38
109	1239907250514	38	48
110	1239907294200	38	52
111	1239911239090	38	92
112	1239913874813	38	118
113	1239915210333	38	52
114	1239985578708	39	119
115	1239988999168	39	119
116	1240193802782	40	47
117	1240230665207	41	123
118	1240235591744	42	8
119	1240240003565	42	92
120	1240241408053	41	38
121	1240242851839	43	38
122	1240243416632	43	38
123	1240244169019	43	119
124	1240244374963	43	38
125	1240250150500	43	30
126	1240260457876	44	119
127	1240263785947	45	38
128	1240275205355	45	92
129	1240305482115	46	8
130	1240323804769	47	119
131	1240325035187	48	119
132	1240325243495	49	119
133	1240327314343	49	119
134	1240329817166	49	123
135	1240344222880	49	123
136	1240367294863	49	3
137	1240427222877	50	30
138	1240430690545	51	123
139	1240458278500	38	80
140	1240458658578	51	38
141	1240459383359	51	188
142	1240511585784	52	188
143	1240511752269	43	3
144	1240512807485	52	188
145	1240512853024	52	188
146	1240513207803	53	119
147	1240517452411	54	8
148	1240518497587	55	52
149	1240541376589	55	10
150	1240578714335	55	10
151	1240579905306	55	52
152	1240579905774	55	52
153	1240588038106	56	2
154	1240604029544	57	48
155	1240607570066	50	206
156	1240619914907	50	193
157	1240681906229	58	38
158	1240815754763	59	8
159	1240856747012	60	234
160	1240856769393	60	234
161	1240859161382	60	8
162	1240860322176	55	10
163	1240882518692	50	159
164	1240882518828	50	159
165	1240883241841	60	38
166	1240929639495	60	234
167	1240929938428	61	234
168	1240932588487	60	8
169	1240934441963	62	119
170	1240935018444	62	3
171	1240941255996	63	119
172	1240941365203	63	119
173	1240944074919	64	92
174	1240949467916	64	10
175	1240953010515	65	188
176	1240958069129	64	38
177	1240965511989	66	234
178	1240965931457	65	48
179	1240966096466	66	48
180	1240974112922	65	188
181	1240981575983	66	234
182	1240981621185	66	234
183	1241001291845	65	176
184	1241018021252	65	48
185	1241022412769	65	2
186	1241024006764	65	8
187	1241024936098	67	234
188	1241026056314	67	232
189	1241027826515	67	162
190	1241030069292	68	234
191	1241031821697	64	231
192	1241032653165	68	8
193	1241032860401	68	228
194	1241034497654	68	228
195	1241034972053	65	228
196	1241037339131	68	234
197	1241037371549	67	234
198	1241043613807	67	38
199	1241043935413	68	228
200	1241044336152	68	234
201	1241044419669	68	234
202	1241044965472	69	234
203	1241045577163	70	234
204	1241046699801	71	234
205	1241055759304	71	48
206	1241066066419	70	8
207	1241074429330	72	176
208	1241085316116	72	48
209	1241112713315	73	119
210	1241114380950	73	188
211	1241122010715	73	8
212	1241132653605	74	234
213	1241139061294	74	38
214	1241174550758	74	234
215	1241182780257	74	38
216	1241191999950	74	234
217	1241225531064	75	76
218	1241389737053	76	48
219	1241393436616	76	119
220	1241412390406	76	38
221	1241550545220	77	234
222	1241551800447	77	119
223	1241553958060	77	234
224	1241560168493	77	234
225	1241563232518	78	211
226	1241574929725	77	234
227	1241580574349	77	8
228	1241581324259	77	234
229	1241581325992	77	234
230	1241588868207	77	8
231	1241616066549	77	2
232	1241621878484	77	234
233	1241621912582	77	234
234	1241651302198	77	8
235	1241661600694	79	160
236	1241691061654	77	8
237	1241691305400	77	8
238	1241691388773	77	8
239	1241703361791	80	119
240	1241705060440	80	8
241	1241705426277	80	119
242	1241709554616	77	228
243	1241710962080	77	234
244	1241744345724	81	48
245	1241754975158	82	92
246	1241757208048	82	92
247	1241758278489	83	92
248	1241766528934	83	92
249	1241789419258	80	1
250	1241789979270	84	1
251	1241790027429	85	1
252	1241790072103	86	1
253	1241790110537	87	1
254	1241790289352	88	1
255	1241790328362	89	1
256	1241790355567	90	92
257	1241790520509	80	92
258	1241790628023	91	1
259	1241792260917	80	8
260	1241792495462	80	8
261	1241800688418	91	8
262	1241800758774	91	8
263	1241803880769	80	1
264	1241808540213	80	8
265	1241809579165	92	30
266	1241813082858	92	8
267	1241814381056	93	253
268	1241814647039	93	253
269	1241814770182	88	1
270	1241817104033	94	253
271	1241994836580	95	38
272	1242009789375	95	38
273	1242011851693	95	92
274	1242012711086	95	38
275	1242019120025	95	38
276	1242021618631	95	45
277	1242044956594	96	2
278	1242045824231	96	2
