id	createDate	creator_id	discussionCategory
1	1237947583374	1	QUESTION
2	1237967475980	2	QUESTION
3	1237967657946	3	QUESTION
4	1238002694591	1	QUESTION
5	1238012742517	49	QUESTION
6	1238012797736	49	QUESTION
7	1238030908692	3	QUESTION
8	1238093032365	48	QUESTION
9	1238104421614	38	QUESTION
10	1238110542345	38	QUESTION
11	1238416746450	2	QUESTION
12	1238428020837	52	QUESTION
13	1238519359048	3	QUESTION
14	1238533601035	8	QUESTION
15	1238538927346	8	QUESTION
16	1238607107206	1	QUESTION
17	1238636701649	48	QUESTION
18	1238641090162	8	QUESTION
19	1238691914238	38	QUESTION
20	1238699684697	92	QUESTION
21	1238703923495	30	QUESTION
22	1238761172461	2	QUESTION
23	1238983228483	1	QUESTION
24	1238995818189	38	QUESTION
25	1239040872338	1	QUESTION
26	1239114109610	3	QUESTION
27	1239194532591	1	QUESTION
28	1239197895759	30	QUESTION
29	1239284005753	2	QUESTION
30	1239367544338	110	QUESTION
32	1239707848274	52	QUESTION
33	1239743620128	21	QUESTION
34	1239799456888	92	QUESTION
35	1239816341658	123	QUESTION
36	1239844265963	30	QUESTION
37	1239883068830	123	QUESTION
38	1239904441365	52	QUESTION
39	1239985578708	119	QUESTION
40	1240193802782	47	QUESTION
41	1240230665207	123	QUESTION
42	1240235591744	8	QUESTION
43	1240242851839	38	QUESTION
44	1240260457876	119	QUESTION
45	1240263785947	38	QUESTION
46	1240305482115	8	QUESTION
47	1240323804769	119	QUESTION
48	1240325035187	119	QUESTION
49	1240325243495	119	QUESTION
50	1240427222877	30	QUESTION
51	1240430690545	123	QUESTION
52	1240511585784	188	QUESTION
53	1240513207803	119	QUESTION
54	1240517452411	8	QUESTION
55	1240518497587	52	QUESTION
56	1240588038106	2	QUESTION
57	1240604029544	48	QUESTION
58	1240681906229	38	QUESTION
59	1240815754763	8	QUESTION
60	1240856747012	234	QUESTION
61	1240929938428	234	QUESTION
62	1240934441963	119	QUESTION
63	1240941255996	119	QUESTION
64	1240944074919	92	QUESTION
65	1240953010515	188	QUESTION
66	1240965511989	234	QUESTION
67	1241024936098	234	QUESTION
68	1241030069292	234	QUESTION
69	1241044965472	234	QUESTION
