MA,PhD,University,BA,MUPP,University of Massachusetts,Roxbury Community College,University of Massachusetts Boston,Certificate,MA (Humanitarian Assistance),MA (Professional Communication),Graduate Certificate,M.A in Teaching and Learning Spanish and its Culture,PhD in Resource Economics,BA (Political Science),Bachelor Degree in Liberal Arts,Associates Degree in Science,MS,ABD,MEd,PhD in Language,M.A. in Education,MFA,PhD with distinction,MFA in Integrated Electronic Arts,PhD 1986,PhD 1994,BFA & BA,MPhil,BFA,D.Phil.,Masters in South Asia Studies,LCSW,PhD (Communication),BS,PhD (Mass Communication),MA (Advertising),PhD (Communication Studies),MA (Communication),MA (Linguistics),BA (English),MA (American Studies),MA (Sociocultural Anthropology),MBA,MA (Mass Communication),BA (Communication),CAGS,MPPA,PhD (History),BA (History),MA/MPhil (History) Columbia University,BA (History/Politics) Monash University,MA (History) Monash University,Ph.D. (ABD) Translation Pedagogy,MMEd,BMus,BM,Masters of Music,MM,Diploma,DMA,PGD,Bachelor of Music
2.0,4.0,Duke University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North Carolina Central University,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Binghamton University – State University of New York (SUNY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of Maryland Eastern Shore (UMES),2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Howard University (2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,Howard University (2000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Florida Agricultural and Mechanical University (1997),2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,University of Illinois at Chicago,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,6.0,Boston University,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,California State University Long Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,University of California Santa Cruz,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
